BSR21002, AVBOB INFORMATION SERVICES - PRODUCTION,11-06-07
.,OMSET SYFERS PER AGENTSKAP VIR TYDPERK VAN,201007,TOT,201105
Agentskap naam,Totale omset,Begrafnisse aantal,Begrafnisse waarde,Grafstene aantal,Grafstene waarde,Kiste aantal,Kiste waarde,Kranse aantal,Kranse waarde,Vars blom aantal,Vars blom waarde,Versekering aantal,Versekering waarde,Komm ontvang aantal,Komm ontvang waarde
Vorige jaar,175270,28,107974,7,25975,28,32692,133,8679,2,-50,14,14528,27016,4433
Afwyking,25611,-3,9005,2,14761,-3,2050,-42,-54,2,-150,18,30875,8772,8470
Afwyking %,15,-11,8,29,57,-11,6,-32,-1,100,300,129,213,32,191
Doelwit,188746,21,113372,4,29093,20,36614,121,9722,0,-54,0,0,0,0
Afwyking,12135,4,3607,5,11643,5,-1873,-30,-1097,4,-146,32,45403,0,0
Afwyking %,6,19,3,125,40,25,-5,-25,-11,0,0,0,0,0,0
10,PRIESKA - 180
Huidige jaar,168750,20,97701,8,39510,20,25504,70,6275,5,-240,68,58126,35764,4820
Vorige jaar,124012,13,85536,4,15467,16,19155,61,3575,11,278,10,8031,18358,4007
Afwyking,44738,7,12165,4,24043,4,6349,9,2699,-6,-518,58,50095,17406,813
Afwyking %,36,54,14,100,155,25,33,15,75,-55,-186,580,624,95,20
Doelwit,133197,14,89814,10,17324,10,21453,70,4004,4,603,0,0,0,0
Afwyking,35553,6,7888,-2,22185,10,4052,0,2271,1,-843,68,58126,0,0
Afwyking %,27,43,9,-20,128,100,19,0,57,25,-140,0,0,0,0
11,SENEKAL - 202 200912
Huidige jaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorige jaar,61224,13,43401,0,0,7,13398,78,4424,0,0,0,0,2093,-101
Afwyking,-61224,-13,-43401,0,0,-7,-13398,-78,-4424,0,0,0,0,-2093,101
Afwyking %,-100,-100,-100,0,0,-100,-100,-100,-100,0,0,0,0,-100,-100
Doelwit,75583,11,26836,10,30959,11,8639,127,8728,2,421,0,0,0,0
Afwyking,-75583,-11,-26836,-10,-30959,-11,-8639,-127,-8728,-2,-421,0,0,0,0
Afwyking %,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0
12,THABA'NCHU - 220 200910,Opgegradeer 19971998
Huidige jaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorige jaar,32230,3,16991,4,12888,2,1465,13,757,2,130,0,0,7988,0
Afwyking,-32230,-3,-16991,-4,-12888,-2,-1465,-13,-757,-2,-130,0,0,-7988,0
Afwyking %,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,-100,0
Doelwit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huidige jaar,14361932,1578,9990548,357,1496795,1905,2261583,2681,214631,746,398375,744,1067561,2291598,324720
Vorige jaar,13890260,1640,9665109,404,1540844,1953,2118540,3224,229981,773,335785,584,762153,2043017,266162
Afwyking,471672,-62,325438,-47,-44049,-48,143043,-543,-15350,-27,62589,160,305408,248581,58559
Afwyking %,3,-4,3,-12,-3,-2,7,-17,-7,-3,19,27,40,12,22
Doelwit,14842975,1723,10111788,394,1742274,1976,2364754,3640,260505,877,363654,0,0,0,0
Afwyking,-481043,-145,-121240,-37,-245479,-71,-103170,-959,-45874,-131,34721,744,1067561,0,0
Afwyking %,-3,-8,-1,-9,-14,-4,-4,-26,-18,-15,10,0,0,0,0
1,EMPANGENI - 57
Huidige jaar,4793203,507,2928175,30,213774,550,1374090,350,95686,313,181478,318,610268,853930,357437
Vorige jaar,5062300,536,3058510,44,207529,592,1520639,426,59484,359,216139,389,829049,870090,378638
Afwyking,-269097,-29,-130335,-14,6246,-42,-146549,-76,36201,-46,-34661,-71,-218781,-16160,-21201
Afwyking %,-5,-5,-4,-32,3,-7,-10,-18,61,-13,-16,-18,-26,-2,-6
Doelwit,5447029,543,3211434,34,232430,561,1703113,385,66621,343,233430,0,0,0,0
Afwyking,-653826,-36,-283259,-4,-18656,-11,-329023,-35,29065,-30,-51952,318,610268,0,0
Afwyking %,-12,-7,-9,-12,-8,-2,-19,-9,44,-9,-22,0,0,0,0
2,NEWCASTLE - 151,Opgegradeer 19992000
Huidige jaar,3305381,349,2529913,6,26113,393,717557,103,10555,195,21243,121,231668,494232,116233
Vorige jaar,2642170,320,2079993,8,29654,395,498355,124,15952,157,18216,171,350068,392198,175054
Afwyking,663211,29,449919,-2,-3540,-2,219202,-21,-5397,38,3027,-50,-118401,102034,-58820
Afwyking %,25,9,22,-25,-12,-1,44,-17,-34,24,17,-29,-34,26,-34
Doelwit,2812901,389,2183993,8,33211,463,558156,167,17867,204,19673,0,0,0,0
Afwyking,492480,-40,345920,-2,-7098,-70,159400,-64,-7312,-9,1570,121,231668,0,0
Afwyking %,18,-10,16,-25,-21,-15,29,-38,-41,-4,8,0,0,0,0
3,VRYHEID - 248,Opgegradeer 19971998
Huidige jaar,2421104,331,1571123,30,109518,306,560033,255,58977,159,121452,111,199552,484489,97079
Vorige jaar,2614608,527,1703494,23,112147,346,646449,261,53072,150,99446,132,230902,474546,110745
Afwyking,-193504,-196,-132371,7,-2628,-40,-86415,-6,5905,9,22006,-21,-31350,9943,-13665
Afwyking %,-7,-37,-8,30,-2,-12,-13,-2,11,6,22,-16,-14,2,-12
Doelwit,2805143,605,1788669,45,125607,419,724024,308,59442,186,107402,0,0,0,0
Afwyking,-384039,-274,-217546,-15,-16089,-113,-163991,-53,-465,-27,14051,111,199552,0,0
Afwyking %,-14,-45,-12,-33,-13,-27,-23,-17,-1,-15,13,0,0,0,0
4,DUNDEE - 45
Huidige jaar,2090299,295,1338587,20,150897,261,494123,163,35023,111,71670,88,168982,368686,59232
Vorige jaar,2033782,381,1361287,12,67503,309,507936,174,35623,109,61433,88,174908,339925,43131
