BSR21002, AVBOB INFORMATION SERVICES - PRODUCTION,11-07-07
.,OMSET SYFERS PER AGENTSKAP VIR TYDPERK VAN,201007,TOT,201106
Agentskap naam,Totale omset,Begrafnisse aantal,Begrafnisse waarde,Grafstene aantal,Grafstene waarde,Kiste aantal,Kiste waarde,Kranse aantal,Kranse waarde,Vars blom aantal,Vars blom waarde,Versekering aantal,Versekering waarde,Komm ontvang aantal,Komm ontvang waarde
Huidige jaar,596935,68,396395,4,19618,89,141096,71,6261,42,33565,0,0,77789,-58
Vorige jaar,750655,86,496759,13,37895,118,167310,149,10683,50,38008,0,0,86866,1091
Afwyking,-153720,-18,-100364,-9,-18278,-29,-26214,-78,-4422,-8,-4443,0,0,-9077,-1149
Afwyking %,-20,-21,-20,-69,-48,-25,-16,-52,-41,-16,-12,0,0,-10,-105
Doelwit,804441,94,521598,17,42444,117,187386,308,11965,57,41049,0,0,0,0
Afwyking,-207506,-26,-125203,-13,-22826,-28,-46291,-237,-5704,-15,-7484,0,0,0,0
Afwyking %,-26,-28,-24,-76,-54,-24,-25,-77,-48,-26,-18,0,0,0,0
7,HEILBRON - 83
Huidige jaar,450830,56,299845,9,38931,57,97930,57,4640,20,9484,12,22056,61857,9967
Vorige jaar,307123,44,193764,5,24423,39,78645,127,7042,9,3250,5,9464,21607,-3090
Afwyking,143707,12,106082,4,14508,18,19285,-70,-2402,11,6234,7,12592,40251,13057
Afwyking %,47,27,55,80,59,46,25,-55,-34,122,192,140,133,186,-423
Doelwit,330283,62,203451,7,27354,62,88082,271,7886,25,3510,0,0,0,0
Afwyking,120547,-6,96394,2,11577,-5,9847,-214,-3246,-5,5974,12,22056,0,0
Afwyking %,36,-10,47,29,42,-8,11,-79,-41,-20,170,0,0,0,0
8,WINBURG - 263
Huidige jaar,340897,38,165371,25,62171,46,92168,211,19295,18,1892,0,0,48847,24091
Vorige jaar,497905,59,295270,39,100987,64,83658,265,13524,37,4466,0,0,88383,13164
Afwyking,-157008,-21,-129899,-14,-38816,-18,8509,-54,5771,-19,-2574,0,0,-39537,10928
Afwyking %,-32,-36,-44,-36,-38,-28,10,-20,43,-51,-58,0,0,-45,83
Doelwit,536805,76,310032,58,113105,79,93697,267,15147,35,4823,0,0,0,0
Afwyking,-195908,-38,-144661,-33,-50934,-33,-1529,-56,4148,-17,-2931,0,0,0,0
Afwyking %,-36,-50,-47,-57,-45,-42,-2,-21,27,-49,-61,0,0,0,0
9,BOTHAVILLE - 18,Opgegradeer 19971998
Huidige jaar,160877,24,95345,1,19928,22,25798,200,11831,16,7975,7,11242,25620,58196
Vorige jaar,197386,28,129325,0,0,34,51636,220,13775,5,2650,0,0,12227,0
Afwyking,-36508,-4,-33980,1,19928,-12,-25838,-20,-1944,11,5325,7,11242,13393,58196
Afwyking %,-18,-14,-26,0,0,-35,-50,-9,-14,220,201,0,0,110,0
Doelwit,211913,41,135791,4,0,35,57830,332,15429,7,2862,0,0,0,0
Afwyking,-51036,-17,-40446,-3,19928,-13,-32032,-132,-3598,9,5113,7,11242,0,0
Afwyking %,-24,-41,-30,-75,0,-37,-55,-40,-23,129,179,0,0,0,0
10,FRANKFORT - 66
Huidige jaar,111014,17,77764,1,3628,13,24825,48,3247,5,1550,0,0,11793,0
Vorige jaar,172277,21,106024,3,19480,19,41960,25,2163,6,2650,1,1380,10857,0
Afwyking,-61263,-4,-28260,-2,-15852,-6,-17136,23,1084,-1,-1100,-1,-1380,936,0
Afwyking %,-36,-19,-27,-67,-81,-32,-41,92,50,-17,-42,-100,-100,9,0
Doelwit,185424,20,111325,5,21818,23,46995,136,2424,11,2862,0,0,0,0
Afwyking,-74410,-3,-33561,-4,-18190,-10,-22171,-88,824,-6,-1312,0,0,0,0
Afwyking %,-40,-15,-30,-80,-83,-43,-47,-65,34,-55,-46,0,0,0,0
11,REITZ - 191 200912
Huidige jaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorige jaar,9675,1,6716,0,0,1,789,49,2170,0,0,0,0,2190,10139
Afwyking,-9675,-1,-6716,0,0,-1,-789,-49,-2170,0,0,0,0,-2190,-10139
Afwyking %,-100,-100,-100,0,0,-100,-100,-100,-100,0,0,0,0,-100,-100
Doelwit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huidige jaar,10660070,1249,7082748,162,749194,1505,2228436,2067,178127,682,421566,346,398516,1529753,315223
Vorige jaar,10116036,1293,6982223,160,656153,1515,1961609,2493,159867,678,356184,378,445297,1461823,280548
Afwyking,544035,-44,100525,2,93041,-10,266827,-426,18260,4,65382,-32,-46780,67930,34675
Afwyking %,5,-3,1,1,14,-1,14,-17,11,1,18,-8,-11,5,12
Doelwit,10816596,1378,7324282,200,734894,1637,2196116,3398,176623,799,384680,0,0,0,0
Afwyking,-156526,-129,-241534,-38,14299,-132,32320,-1331,1504,-117,36886,346,398516,0,0
Afwyking %,-1,-9,-3,-19,2,-8,1,-39,1,-15,10,0,0,0,0
1,BLOEMFONTEIN - 543,Opgegradeer 19992000
Huidige jaar,8969864,955,6288153,192,796241,1164,1430208,885,91201,455,364061,147,268584,1382098,86680
Vorige jaar,8391833,961,5927019,212,792671,1145,1269193,1165,103192,446,299758,91,133173,1260975,56987
Afwyking,578031,-6,361134,-20,3569,19,161015,-280,-11991,9,64303,56,135411,121123,29692
Afwyking %,7,-1,6,-9,0,2,13,-24,-12,2,21,62,102,10,52
Doelwit,8971974,994,6223370,178,887793,1124,1421497,1236,115575,548,323739,0,0,0,0
Afwyking,-2111,-39,64783,14,-91552,40,8711,-351,-24374,-93,40322,147,268584,0,0
Afwyking %,0,-4,1,8,-10,4,1,-28,-21,-17,12,0,0,0,0
2,KIMBERLEY 1 - 541,Opgegradeer 19992000
Huidige jaar,2787072,325,2236704,28,108081,423,347658,432,37131,209,57498,246,339014,432785,103723
Vorige jaar,3157132,384,2415723,50,211260,484,444584,554,36744,273,48821,172,238881,430652,62338
Afwyking,-370060,-59,-179019,-22,-103179,-61,-96925,-122,387,-64,8677,74,100132,2133,41385
Afwyking %,-12,-15,-7,-44,-49,-13,-22,-22,1,-23,18,43,42,0,66
Doelwit,3364930,416,2536507,45,236611,504,497932,728,41153,295,52727,0,0,0,0
Afwyking,-577858,-91,-299803,-17,-128530,-81,-150273,-296,-4023,-86,4772,246,339014,0,0
Afwyking %,-17,-22,-12,-38,-54,-16,-30,-41,-10,-29,9,0,0,0,0
3,DE AAR - 40
Huidige jaar,1077108,110,675028,39,182589,141,197002,192,18319,34,4170,80,98978,161753,29612
Vorige jaar,676090,68,355809,30,141705,113,154550,256,21661,11,2365,151,161230,99654,55909
Afwyking,401018,42,319219,9,40884,28,42452,-64,-3342,23,1805,-71,-62251,62099,-26297
Afwyking %,59,62,90,30,29,25,27,-25,-15,209,76,-47,-39,62,-47
Doelwit,732219,96,373602,61,158708,153,173096,262,24259,21,2554,0,0,0,0
Afwyking,344889,14,301426,-22,23881,-12,23906,-70,-5941,13,1616,80,98978,0,0
Afwyking %,47,15,81,-36,15,-8,14,-27,-24,62,63,0,0,0,0
4,ZASTRON - 290
Huidige jaar,751231,101,499948,11,71280,105,145549,417,16730,34,17724,59,70486,148246,24961
Vorige jaar,683004,99,442255,24,106028,107,103167,491,21878,20,9676,51,68839,136108,17588
Afwyking,68227,2,57693,-13,-34748,-2,42383,-74,-5148,14,8048,8,1647,12138,7372
Afwyking %,10,2,13,-54,-33,-2,41,-15,-24,70,83,16,2,9,42
Doelwit,733626,141,464370,29,118753,158,115549,639,24504,22,10450,0,0,0,0
Afwyking,17605,-40,35578,-18,-47473,-53,30000,-222,-7775,12,7274,59,70486,0,0
Afwyking %,2,-28,8,-62,-40,-34,26,-35,-32,55,70,0,0,0,0
5,ALIWAL NOORD - 3
Huidige jaar,654677,72,422877,14,70788,85,146808,196,14142,46,62,2,5472,130138,1334
Vorige jaar,496795,54,298445,17,92661,65,91939,147,7846,33,5904,2,5484,77015,3641
Afwyking,157881,18,124432,-3,-21873,20,54869,49,6296,13,-5843,0,-12,53123,-2306
Afwyking %,32,33,42,-18,-24,31,60,33,80,39,-99,0,0,69,-63
Doelwit,535282,59,313367,17,103780,74,102971,300,8786,35,6377,0,0,0,0
Afwyking,119395,13,109510,-3,-32992,11,43837,-104,5356,11,-6316,2,5472,0,0
Afwyking %,22,22,35,-18,-32,15,43,-35,61,31,-99,0,0,0,0
6,BOTSHABELO - 9
Huidige jaar,456604,43,283647,29,106677,43,55316,70,4774,24,6190,121,181800,75763,60745
Vorige jaar,442231,45,302669,34,88732,44,43662,125,6922,14,246,78,106339,67069,31652
Afwyking,14373,-2,-19022,-5,17945,-1,11654,-55,-2148,10,5944,43,75461,8695,29093
Afwyking %,3,-4,-6,-15,20,-2,27,-44,-31,71,2416,55,71,13,92
Doelwit,474102,50,317802,25,99378,45,48903,198,7754,27,266,0,0,0,0
Afwyking,-17498,-7,-34155,4,7299,-2,6413,-128,-2980,-3,5924,121,181800,0,0
Afwyking %,-4,-14,-11,16,7,-4,13,-65,-38,-11,2229,0,0,0,0
7,LADYBRAND - 130
Huidige jaar,450291,55,285712,20,56841,60,91878,220,17085,3,-1226,0,0,55208,2874
Vorige jaar,537444,63,333441,29,103948,63,78758,267,17768,13,3529,0,0,50757,17345
Afwyking,-87153,-8,-47729,-9,-47106,-3,13120,-47,-683,-10,-4754,0,0,4451,-14471
Afwyking %,-16,-13,-14,-31,-45,-5,17,-18,-4,-77,-135,0,0,9,-83
Doelwit,578458,42,350113,27,116424,36,88209,141,19900,6,3811,0,0,0,0
Afwyking,-128167,13,-64401,-7,-59583,24,3669,79,-2815,-3,-5037,0,0,0,0
Afwyking %,-22,31,-18,-26,-51,67,4,56,-14,-50,-132,0,0,0,0
8,FICKSBURG - 62
Huidige jaar,389889,38,203185,29,103693,47,60875,302,20131,14,2006,47,80594,71292,19309
Vorige jaar,413515,48,228168,30,92095,52,67516,301,19475,14,6262,62,96360,56562,30970
Afwyking,-23627,-10,-24983,-1,11598,-5,-6641,1,656,0,-4256,-15,-15766,14730,-11660
Afwyking %,-6,-21,-11,-3,13,-10,-10,0,3,0,-68,-24,-16,26,-38
Doelwit,448639,45,239574,16,103146,47,75617,265,21811,10,8491,0,0,0,0
Afwyking,-58750,-7,-36390,13,547,0,-14742,37,-1680,4,-6485,47,80594,0,0
Afwyking %,-13,-16,-15,81,1,0,-19,14,-8,40,-76,0,0,0,0
9,COLESBERG - 33
Huidige jaar,250707,30,147926,9,40736,30,50430,113,11815,4,-200,38,52051,43583,15157
Vorige jaar,179229,29,110445,7,25975,29,33872,138,8987,2,-50,15,15056,28958,4706
Afwyking,71478,1,37481,2,14761,1,16558,-25,2827,2,-150,23,36995,14625,10451
Afwyking %,40,3,34,29,57,3,49,-18,31,100,300,153,246,51,222
Doelwit,193009,21,115966,4,29093,20,37936,140,10068,0,-54,0,0,0,0
Afwyking,57698,9,31960,5,11643,10,12494,-27,1747,4,-146,38,52051,0,0
Afwyking %,30,43,28,125,40,50,33,-19,17,0,0,0,0,0,0
10,PRIESKA - 180
Huidige jaar,203302,24,122994,8,39510,24,33895,73,7324,7,-420,73,61276,41217,4761
Vorige jaar,141419,18,96121,4,15467,20,25761,63,3792,11,278,14,10811,21753,4208
Afwyking,61883,6,26873,4,24043,4,8134,10,3532,-4,-698,59,50465,19464,553
Afwyking %,44,33,28,100,155,20,32,16,93,-36,-251,421,467,89,13
Doelwit,151650,15,100928,11,17324,11,28850,73,4247,4,300,0,0,0,0
Afwyking,51652,9,22065,-3,22185,13,5044,0,3077,3,-720,73,61276,0,0
Afwyking %,34,60,22,-27,128,118,17,0,72,75,-240,0,0,0,0
11,SENEKAL - 202 200912
Huidige jaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorige jaar,61224,13,43401,0,0,7,13398,78,4424,0,0,0,0,2093,-101
Afwyking,-61224,-13,-43401,0,0,-7,-13398,-78,-4424,0,0,0,0,-2093,101
Afwyking %,-100,-100,-100,0,0,-100,-100,-100,-100,0,0,0,0,-100,-100
Doelwit,75885,11,26836,10,30959,11,8639,139,9031,2,421,0,0,0,0
Afwyking,-75885,-11,-26836,-10,-30959,-11,-8639,-139,-9031,-2,-421,0,0,0,0
Afwyking %,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0
12,THABA'NCHU - 220 200910,Opgegradeer 19971998
Huidige jaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorige jaar,32230,3,16991,4,12888,2,1465,13,757,2,130,0,0,7988,0
Afwyking,-32230,-3,-16991,-4,-12888,-2,-1465,-13,-757,-2,-130,0,0,-7988,0
Afwyking %,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,-100,0
Doelwit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huidige jaar,15990742,1753,11166173,379,1576436,2122,2559618,2900,238650,830,449864,813,1158256,2542082,349156
Vorige jaar,15212145,1785,10570487,441,1683429,2131,2327864,3598,253446,839,376919,636,836174,2239584,285243
Afwyking,778596,-32,595686,-62,-106993,-9,231754,-698,-14796,-9,72946,177,322082,302498,63912
Afwyking %,5,-2,6,-14,-6,0,10,-19,-6,-1,19,28,39,14,22
Doelwit,16259774,1890,11062436,423,1901970,2183,2599198,4121,287089,970,409083,0,0,0,0
Afwyking,-269032,-137,103737,-44,-325534,-61,-39579,-1221,-48438,-140,40781,813,1158256,0,0
Afwyking %,-2,-7,1,-10,-17,-3,-2,-30,-17,-14,10,0,0,0,0
1,EMPANGENI - 57
Huidige jaar,5331990,560,3290250,33,230152,606,1504735,395,108825,341,198028,359,692590,938016,389961
Vorige jaar,5507306,589,3358664,48,234976,656,1614768,463,62958,392,235939,415,881582,956413,425396
Afwyking,-175315,-29,-68414,-15,-4824,-50,-110033,-68,45867,-51,-37911,-56,-188992,-18397,-35434
Afwyking %,-3,-5,-2,-31,-2,-8,-7,-15,73,-13,-16,-13,-21,-2,-8
Doelwit,5923633,604,3526597,41,263172,639,1808538,430,70512,379,254814,0,0,0,0
Afwyking,-591643,-44,-236347,-8,-33020,-33,-303803,-35,38313,-38,-56786,359,692590,0,0
Afwyking %,-10,-7,-7,-20,-13,-5,-17,-8,54,-10,-22,0,0,0,0
2,NEWCASTLE - 151,Opgegradeer 19992000
Huidige jaar,3596402,381,2750917,7,35066,430,776066,107,11380,211,22973,130,252533,533956,126374
Vorige jaar,2865925,351,2237831,10,39052,431,547973,137,18433,168,22636,182,366652,426085,182404
Afwyking,730476,30,513086,-3,-3986,-1,228092,-30,-7054,43,337,-52,-114119,107871,-56030
Afwyking %,25,9,23,-30,-10,0,42,-22,-38,26,1,-29,-31,25,-31
Doelwit,3052281,422,2349722,8,43737,498,613729,182,20647,221,24447,0,0,0,0
Afwyking,544121,-41,401195,-1,-8671,-68,162337,-75,-9267,-10,-1474,130,252533,0,0
Afwyking %,18,-10,17,-13,-20,-14,26,-41,-45,-5,-6,0,0,0,0
3,VRYHEID - 248,Opgegradeer 19971998
Huidige jaar,2714563,352,1741306,36,146971,336,627139,276,63995,175,135152,112,200548,525548,98697
Vorige jaar,2964674,587,1945480,25,118035,400,726558,290,59304,172,115296,141,246975,540406,115433
Afwyking,-250110,-235,-204173,11,28936,-64,-99420,-14,4691,3,19856,-29,-46427,-14859,-16737
Afwyking %,-8,-40,-10,44,25,-16,-14,-5,8,2,17,-21,-19,-3,-14
Doelwit,3179645,686,2042754,45,132203,481,813747,356,66422,207,124520,0,0,0,0
Afwyking,-465082,-334,-301448,-9,14769,-145,-186608,-80,-2427,-32,10633,112,200548,0,0
Afwyking %,-15,-49,-15,-20,11,-30,-23,-22,-4,-15,9,0,0,0,0
4,ULUNDI - 235
Huidige jaar,2293300,266,1365446,18,121390,265,756669,68,14625,165,35172,116,159567,417182,97800
Vorige jaar,1831175,237,1188087,20,105002,255,495032,172,30466,139,12589,0,0,353395,60310
Afwyking,462126,29,177359,-2,16388,10,261637,-104,-15841,26,22583,116,159567,63786,37490
Afwyking %,25,12,15,-10,16,4,53,-60,-52,19,179,0,0,18,62
Doelwit,1967249,273,1247491,26,117601,297,554438,160,34123,169,13595,0,0,0,0
Afwyking,326051,-7,117954,-8,3789,-32,202231,-92,-19498,-4,21577,116,159567,0,0
Afwyking %,17,-3,9,-31,3,-11,36,-58,-57,-2,159,0,0,0,0
5,DUNDEE - 45
Huidige jaar,2287680,317,1465903,21,153706,288,554026,175,38075,117,75970,93,178270,403863,63340
Vorige jaar,2211958,405,1482347,12,67503,341,555090,195,40284,119,66733,94,188855,377402,47729
Afwyking,75723,-88,-16444,9,86202,-53,-1064,-20,-2209,-2,9237,-1,-10585,26461,15611
Afwyking %,3,-22,-1,75,128,-16,0,-10,-5,-2,14,-1,-6,7,33
Doelwit,2370961,440,1556464,13,75605,398,621703,235,45117,122,72072,0,0,0,0
Afwyking,-83281,-123,-90561,8,78101,-110,-67677,-60,-7042,-5,3898,93,178270,0,0
Afwyking %,-4,-28,-6,62,103,-28,-11,-26,-16,-4,5,0,0,0,0
6,ERMELO - 52
Huidige jaar,1884376,186,1425434,3,13053,193,344780,145,22883,124,78226,129,198924,285696,129000
Vorige jaar,1483078,162,1164634,1,2277,180,230063,200,31629,88,54475,138,196701,244691,126574
Afwyking,401298,24,260800,2,10776,13,114717,-55,-8746,36,23751,-9,2223,41006,2426
Afwyking %,27,15,22,200,473,7,50,-28,-28,41,44,-7,1,17,2
Doelwit,1577342,201,1222866,10,2550,193,257669,261,35423,102,58833,0,0,0,0
Afwyking,307034,-15,202568,-7,10503,0,87111,-116,-12541,22,19393,129,198924,0,0
Afwyking %,19,-7,17,-70,412,0,34,-44,-35,22,33,0,0,0,0
7,STANDERTON - 207
Huidige jaar,728439,74,403885,25,130156,95,172456,69,15492,19,6450,39,74952,122002,27169
Vorige jaar,385717,55,249823,5,13591,61,108972,62,8177,12,5154,59,114266,69354,35973
Afwyking,342723,19,154062,20,116565,34,63484,7,7315,7,1296,-20,-39314,52649,-8804
Afwyking %,89,35,62,400,858,56,58,11,89,58,25,-34,-34,76,-24
Doelwit,414308,83,262314,12,15222,77,122048,126,9158,28,5566,0,0,0,0
Afwyking,314131,-9,141571,13,114934,18,50409,-57,6334,-9,884,39,74952,0,0
Afwyking %,76,-11,54,108,755,23,41,-45,69,-32,16,0,0,0,0
8,VREDE - 246 201007
Huidige jaar,7913,0,0,1,7913,0,0,0,0,0,0,0,0,0,0
Vorige jaar,51925,6,28510,1,6831,8,14899,13,1095,3,590,0,0,10200,0
Afwyking,-44012,-6,-28510,0,1082,-8,-14899,-13,-1095,-3,-590,0,0,-10200,0
Afwyking %,-85,-100,-100,0,16,-100,-100,-100,-100,-100,-100,0,0,-100,0
Doelwit,56137,22,29937,6,7651,20,16686,36,1226,6,637,0,0,0,0
Afwyking,-48224,-22,-29937,-5,262,-20,-16686,-36,-1226,-6,-637,0,0,0,0
Afwyking %,-86,-100,-100,-83,3,-100,-100,-100,-100,-100,-100,0,0,0,0
Afwyking %,-86,-100,-100,-83,3,-100,-100,-100,-100,-100,-100,0,0,0,0
Huidige jaar,18844664,2136,12443141,144,838408,2213,4735870,1235,275274,1152,551971,978,1757385,3226262,932340
Vorige jaar,17301756,2392,11655375,122,587268,2332,4293356,1532,252346,1093,513412,1029,1995032,2977946,993818
Afwyking,1542908,-256,787766,22,251139,-119,442514,-297,22928,59,38559,-51,-237647,248317,-61478
Afwyking %,9,-11,7,18,43,-5,10,-19,9,5,8,-5,-12,8,-6
Doelwit,18541556,2731,12238145,161,657741,2603,4808558,1786,282629,1234,554484,0,0,0,0
Afwyking,303108,-595,204996,-17,180667,-390,-72687,-551,-7355,-82,-2513,978,1757385,0,0
Afwyking %,2,-22,2,-11,27,-15,-2,-31,-3,-7,0,0,0,0,0
1,KEMPTON PARK - 125,Opgegradeer 19971998
Huidige jaar,6986792,676,4909446,55,243348,825,1314376,365,65512,358,454109,150,363629,1088681,218216
Vorige jaar,1385673,714,942768,45,61894,865,320226,187,17641,343,43145,167,354913,551064,229791
Afwyking,5601119,-38,3966678,10,181454,-40,994151,178,47871,15,410965,-17,8716,537617,-11576
Afwyking %,404,-5,421,22,293,-5,310,95,271,4,953,-10,2,98,-5
Doelwit,1484238,676,989906,55,69322,822,358653,219,19758,340,46598,0,0,0,0
Afwyking,5502554,0,3919539,0,174026,3,955723,146,45754,18,407512,150,363629,0,0
Afwyking %,371,0,396,0,251,0,266,67,232,5,875,0,0,0,0
2,JOHANNESBURG DIENS - 544,Opgegradeer 19971998
Huidige jaar,5909983,560,4083336,46,304656,666,1399090,172,45720,344,77181,267,597532,1008009,270974
Vorige jaar,5343064,630,3732242,67,353279,756,1132400,203,38820,329,86323,170,383337,908901,180734
Afwyking,566918,-70,351094,-21,-48624,-90,266689,-31,6900,15,-9142,97,214195,99108,90240
Afwyking %,11,-11,9,-31,-14,-12,24,-15,18,5,-11,57,56,11,50
Doelwit,5719524,832,3918854,116,395671,927,1268289,263,43481,396,93229,0,0,0,0
Afwyking,190459,-272,164482,-70,-91016,-261,130801,-91,2239,-52,-16048,267,597532,0,0
Afwyking %,3,-33,4,-60,-23,-28,10,-35,5,-13,-17,0,0,0,0
3,ALBERTON - 2
Huidige jaar,5646385,474,3796825,75,367374,697,1070175,133,19430,313,392582,284,611353,667535,234503
Vorige jaar,5301513,505,3549172,38,175858,684,1198958,192,28200,297,349325,340,576197,556739,233110
Afwyking,344872,-31,247653,37,191516,13,-128783,-59,-8771,16,43257,-56,35155,110797,1393
Afwyking %,7,-6,7,97,109,2,-11,-31,-31,5,12,-16,6,20,1
Doelwit,5675282,450,3726631,49,196962,662,1342833,150,31584,260,377272,0,0,0,0
Afwyking,-28897,24,70195,26,170412,35,-272658,-17,-12154,53,15309,284,611353,0,0
Afwyking %,-1,5,2,53,87,5,-20,-11,-38,20,4,0,0,0,0
4,BOKSBURG - 25
Huidige jaar,3604742,260,2611981,24,102245,396,660043,125,33243,187,197230,40,97728,360177,49430
Vorige jaar,3409597,262,2462393,36,121264,400,602313,154,35047,193,188580,55,109875,260610,62321
Afwyking,195145,-2,149588,-12,-19019,-4,57730,-29,-1804,-6,8650,-15,-12147,99567,-12891
Afwyking %,6,-1,6,-33,-16,-1,10,-19,-5,-3,5,-27,-11,38,-21
Doelwit,3638838,269,2585513,48,135816,424,674591,211,39253,185,203666,0,0,0,0
Afwyking,-34096,-9,26468,-24,-33571,-28,-14547,-86,-6010,2,-6436,40,97728,0,0
Afwyking %,-1,-3,1,-50,-25,-7,-2,-41,-15,1,-3,0,0,0,0
5,GERMISTON - 70
Huidige jaar,2557004,270,1754869,15,65771,358,587399,358,53154,117,95810,393,700708,326635,301128
Vorige jaar,1641133,195,1157299,32,127047,245,263351,260,22817,85,70620,366,714810,237507,245644
Afwyking,915871,75,597570,-17,-61275,113,324048,98,30338,32,25190,27,-14103,89128,55484
Afwyking %,56,38,52,-53,-48,46,123,38,133,38,36,7,-2,38,23
Doelwit,1754234,359,1215165,41,142292,436,294953,427,25555,207,76270,0,0,0,0
Afwyking,802770,-89,539704,-26,-76520,-78,292446,-69,27599,-90,19540,393,700708,0,0
Afwyking %,46,-25,44,-63,-54,-18,99,-16,108,-43,26,0,0,0,0
6,BENONI - 12
Huidige jaar,1817834,169,1289021,19,65463,228,353596,65,12911,90,96843,53,94768,224830,33442
Vorige jaar,1794035,174,1298180,24,85007,246,285580,87,14782,94,110485,28,48707,175504,12728
